shipment_id,mode,product_category,unit_cost,weight_kg,lat_o,lon_o,lat_d,lon_d,dist_km,plan_hrs,origin_congestion_index,weather_condition_code,labor_strike_score,current_node_stock,node_tier,actual_transit_time,is_delayed,delay_delta,predicted_ttr,risk_score,stay_impact,pivot_impact,ai_recommendation,strategic_justification
SHP-0380712,Truck,Energy & Power,3814,11.39,51.92,4.47,-45.74,101.14,14217.18,157.97,4.95,1.01,0.5,2499,0,254.79,1,96.82,140.76,0.27,10852.26,5471.91,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380713,Truck,Semiconductors,1780,0.13,22.8,-63.2,-8.62,117.48,18436.72,204.85,5.02,1,0.5,3941,1,388.34,1,183.49,192.12,0.34,11386.25,3193.6,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380714,Ocean,Raw Materials,59,76.47,12.92,49.22,-57.79,-41.44,11259.18,321.69,4.98,1.01,0.5,4401,4,366.08,0,44.39,295.27,0.48,14824.43,1267.61,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380715,Truck,Raw Materials,98,96.88,-40.45,-81.78,40.45,-117.37,9688.9,107.65,4.98,0.99,0.5,41,4,210.26,1,102.61,101.85,0.22,5192.82,1311.7,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380716,Truck,Raw Materials,94,75.53,-56.68,46.35,-56.68,46.35,0,0,5.08,1,0.5,1772,4,0,0,0,2.92,0.08,242.09,1306.79,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380717,Truck,Semiconductors,1780,0.13,-45.74,101.14,-22.08,-68.86,12406.66,137.85,5,0.97,0.5,417,2,203.12,1,65.27,122.24,0.24,7891.82,3193.6,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380718,Air,Semiconductors,592,0.09,31.06,28.86,38.72,-79.45,9287.8,10.93,4.94,1.01,0.5,297,3,14.3,1,3.37,8.86,0.09,1034.9,1863.04,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380719,Truck,Raw Materials,137,131.41,-40.45,-81.78,48.63,30.7,14764.12,164.05,4.98,0.99,0.5,1243,4,449.26,1,285.21,153.12,0.29,7796.29,1356.07,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380720,Ocean,Raw Materials,94,75.53,-50.08,82.54,-57.21,-109.6,8032.91,229.51,4.94,0.99,0.49,1278,1,248.57,0,19.06,201.31,0.35,10161.26,1306.79,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380721,Ocean,Energy & Power,3978,21.88,-54.26,-118.14,-21.75,56.83,11549.75,329.99,5.04,1.01,0.51,2788,3,568.66,1,238.67,296.82,0.48,18819.73,5655.8,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380722,Ocean,Raw Materials,145,100.37,-17.98,-110.77,-22.54,-5.13,10764.19,307.55,4.96,1.02,0.51,2889,4,811.92,1,504.37,282.04,0.46,14249.61,1364.41,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380723,Rail,Raw Materials,52,122.09,-57.21,-109.6,-23.82,26.38,10114.15,126.43,5.06,1.01,0.5,317,1,245.81,1,119.38,113.16,0.23,5712.82,1260.68,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380724,Air,Raw Materials,79,82.74,48.63,30.7,-4.98,117.14,10162.67,11.96,4.96,1.01,0.5,4801,3,27.08,1,15.12,10.51,0.09,606.49,1290.13,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380725,Air,Raw Materials,52,122.09,-22.09,102.78,-39.9,86.45,2510.17,2.95,5.11,0.99,0.5,4960,4,8.14,1,5.19,1.06,0.08,108.17,1260.68,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380726,Air,Semiconductors,1069,0.14,22.74,69.7,51.92,4.47,6353.63,7.47,5.04,0.98,0.49,1156,0,13.1,1,5.63,6.81,0.09,1409.45,2397.28,STAY ON ROUTE,Maintain Route: Optimized for Cost
SHP-0380727,Ocean,Raw Materials,94,75.53,48.63,30.7,-38.1,15.53,9759.67,278.85,4.96,1.01,0.5,4788,3,595.98,1,317.13,252.2,0.42,12706.13,1306.79,STAY ON ROUTE,Maintain Route: Optimized for Cost
