"node_id","latitude","longitude","node_tier","node_classification","country","state_province","city"
"CD-KOL","-10.720000","25.470000",4,"Tier 3 Local Distribution Center","Congo","Lualaba","Kolwezi"
"DE-RTM","51.920000","4.470000",0,"Tier 3 Local Distribution Center","Netherlands","South Holland","Rotterdam"
"EXT-00","36.430000","-112.780000",4,"Tier 3 Local Distribution Center","USA","California","San Francisco"
"EXT-01","-22.080000","-68.860000",3,"Tier 3 Local Distribution Center","USA","New York","New York City"
"EXT-02","13.620000","13.210000",3,"Tier 3 Local Distribution Center","USA","Texas","Houston"
"EXT-03","30.500000","-95.770000",4,"Tier 3 Local Distribution Center","USA","Illinois","Chicago"
"EXT-04","40.450000","-117.370000",2,"Tier 2 Regional Hub","USA","California","San Francisco"
"EXT-05","56.980000","-91.440000",2,"Tier 2 Regional Hub","USA","New York","New York City"
"EXT-06","-56.510000","-56.950000",3,"Tier 3 Local Distribution Center","USA","Texas","Houston"
"EXT-07","14.710000","-54.940000",1,"Tier 1 Strategic Gateway","USA","Illinois","Chicago"
"EXT-08","-4.860000","77.460000",1,"Tier 1 Strategic Gateway","USA","California","San Francisco"
"EXT-09","22.800000","-63.200000",1,"Tier 1 Strategic Gateway","USA","New York","New York City"
"EXT-10","12.460000","-13.760000",4,"Tier 3 Local Distribution Center","USA","Texas","Houston"
"EXT-11","-8.620000","117.480000",2,"Tier 2 Regional Hub","USA","Illinois","Chicago"
"EXT-12","-23.820000","26.380000",3,"Tier 3 Local Distribution Center","USA","California","San Francisco"
"EXT-13","50.790000","-95.240000",3,"Tier 3 Local Distribution Center","USA","New York","New York City"
"EXT-14","55.830000","-38.260000",2,"Tier 2 Regional Hub","USA","Texas","Houston"
"EXT-15","31.060000","28.860000",3,"Tier 3 Local Distribution Center","USA","Illinois","Chicago"
"EXT-16","-35.870000","-99.200000",2,"Tier 2 Regional Hub","USA","California","San Francisco"
"EXT-17","-43.850000","66.170000",1,"Tier 1 Strategic Gateway","USA","New York","New York City"
"EXT-18","-57.210000","-109.600000",1,"Tier 1 Strategic Gateway","USA","Texas","Houston"
"EXT-19","32.640000","-76.950000",2,"Tier 2 Regional Hub","USA","Illinois","Chicago"
"EXT-20","-5.500000","19.190000",1,"Tier 1 Strategic Gateway","USA","California","San Francisco"
"EXT-21","-45.740000","101.140000",2,"Tier 2 Regional Hub","USA","New York","New York City"
"EXT-22","59.170000","-61.270000",2,"Tier 2 Regional Hub","USA","Texas","Houston"
"EXT-23","-57.790000","-41.440000",1,"Tier 1 Strategic Gateway","USA","Illinois","Chicago"
"EXT-24","47.840000","29.980000",4,"Tier 3 Local Distribution Center","USA","California","San Francisco"
"EXT-25","4.320000","-78.520000",2,"Tier 2 Regional Hub","USA","New York","New York City"
"EXT-26","12.920000","49.220000",4,"Tier 3 Local Distribution Center","USA","Texas","Houston"
"EXT-27","48.630000","30.700000",3,"Tier 3 Local Distribution Center","USA","Illinois","Chicago"
"EXT-28","-21.750000","56.830000",3,"Tier 3 Local Distribution Center","USA","California","San Francisco"
"EXT-29","-22.090000","102.780000",4,"Tier 3 Local Distribution Center","USA","New York","New York City"
"EXT-30","-36.870000","22.470000",2,"Tier 2 Regional Hub","USA","Texas","Houston"
"EXT-31","-50.080000","82.540000",1,"Tier 1 Strategic Gateway","USA","Illinois","Chicago"
"EXT-32","49.300000","-88.450000",2,"Tier 2 Regional Hub","USA","California","San Francisco"
"EXT-33","-4.980000","117.140000",2,"Tier 2 Regional Hub","USA","New York","New York City"
"EXT-34","-35.700000","114.510000",3,"Tier 3 Local Distribution Center","USA","Texas","Houston"
"EXT-35","1.020000","116.620000",4,"Tier 3 Local Distribution Center","USA","Illinois","Chicago"
"EXT-36","12.530000","-41.310000",3,"Tier 3 Local Distribution Center","USA","California","San Francisco"
"EXT-37","58.140000","84.270000",2,"Tier 2 Regional Hub","USA","New York","New York City"
"EXT-38","50.020000","55.470000",2,"Tier 2 Regional Hub","USA","Texas","Houston"
"EXT-39","-22.540000","-5.130000",3,"Tier 3 Local Distribution Center","USA","Illinois","Chicago"
"EXT-40","-39.900000","86.450000",2,"Tier 2 Regional Hub","USA","California","San Francisco"
"EXT-41","-52.940000","98.870000",1,"Tier 1 Strategic Gateway","USA","New York","New York City"
"EXT-42","10.030000","-25.800000",4,"Tier 3 Local Distribution Center","USA","Texas","Houston"
"EXT-43","9.250000","114.810000",4,"Tier 3 Local Distribution Center","USA","Illinois","Chicago"
"EXT-44","45.410000","-113.720000",4,"Tier 3 Local Distribution Center","USA","California","San Francisco"
"EXT-45","-54.260000","-118.140000",3,"Tier 3 Local Distribution Center","USA","New York","New York City"
"EXT-46","-17.980000","-110.770000",4,"Tier 3 Local Distribution Center","USA","Texas","Houston"
"EXT-47","-17.880000","4.460000",4,"Tier 3 Local Distribution Center","USA","Illinois","Chicago"
"EXT-48","-56.680000","46.350000",4,"Tier 3 Local Distribution Center","USA","California","San Francisco"
"EXT-49","-1.820000","46.190000",3,"Tier 3 Local Distribution Center","USA","New York","New York City"
"EXT-50","6.880000","-90.650000",2,"Tier 2 Regional Hub","USA","Texas","Houston"
"EXT-51","30.670000","10.330000",1,"Tier 1 Strategic Gateway","USA","Illinois","Chicago"
"EXT-52","34.710000","-79.620000",3,"Tier 3 Local Distribution Center","USA","California","San Francisco"
"EXT-53","-9.240000","90.960000",4,"Tier 3 Local Distribution Center","USA","New York","New York City"
"EXT-54","-40.450000","-81.780000",4,"Tier 3 Local Distribution Center","USA","Texas","Houston"
"EXT-55","33.260000","53.070000",4,"Tier 3 Local Distribution Center","USA","Illinois","Chicago"
"EXT-56","6.450000","-94.660000",4,"Tier 3 Local Distribution Center","USA","California","San Francisco"
"EXT-57","42.830000","50.050000",1,"Tier 1 Strategic Gateway","USA","New York","New York City"
"EXT-58","-38.100000","15.530000",3,"Tier 3 Local Distribution Center","USA","Texas","Houston"
"EXT-59","-46.170000","-41.010000",1,"Tier 1 Strategic Gateway","USA","Illinois","Chicago"
"EXT-60","-40.240000","33.450000",2,"Tier 2 Regional Hub","USA","California","San Francisco"
"EXT-61","-47.840000","-47.270000",3,"Tier 3 Local Distribution Center","USA","New York","New York City"
"EXT-62","38.720000","-79.450000",4,"Tier 3 Local Distribution Center","USA","Texas","Houston"
"EXT-63","-32.170000","-76.350000",1,"Tier 1 Strategic Gateway","USA","Illinois","Chicago"
"EXT-64","-24.510000","-71.020000",3,"Tier 3 Local Distribution Center","USA","California","San Francisco"
"EXT-65","-44.540000","-82.520000",3,"Tier 3 Local Distribution Center","USA","New York","New York City"
"EXT-66","32.480000","105.450000",2,"Tier 2 Regional Hub","USA","Texas","Houston"
"EXT-67","-56.720000","103.910000",1,"Tier 1 Strategic Gateway","USA","Illinois","Chicago"
"EXT-68","37.540000","-102.520000",3,"Tier 3 Local Distribution Center","USA","California","San Francisco"
"EXT-69","14.880000","31.560000",1,"Tier 1 Strategic Gateway","USA","New York","New York City"
"EXT-70","-29.180000","-81.900000",4,"Tier 3 Local Distribution Center","USA","Texas","Houston"
"IN-DADRI","28.540000","77.550000",1,"Tier 1 Strategic Gateway","India","Maharashtra","Dadri"
"IN-JNPT","18.950000","72.950000",0,"Tier 3 Local Distribution Center","India","Maharashtra","Navi Mumbai"
"IN-MUN","22.740000","69.700000",0,"Tier 3 Local Distribution Center","India","Gujarat","Mundra"
"IN-NSK","19.990000","73.780000",2,"Tier 2 Regional Hub","India","Maharashtra","Nashik"
"IN-PNE","18.520000","73.850000",1,"Tier 1 Strategic Gateway","India","Maharashtra","Pune"
"TW-HSN","24.780000","120.990000",3,"Tier 3 Local Distribution Center","Taiwan","Hsinchu County","Hsinchu"
"US-LAX","33.730000","-118.260000",0,"Tier 3 Local Distribution Center","USA","California","Los Angeles"
